holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour
No Holiday,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,8
No Holiday,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,9
No Holiday,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,12
No Holiday,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,13
No Holiday,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,14
No Holiday,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,15
No Holiday,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,16
No Holiday,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,18
No Holiday,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,19
No Holiday,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,20
No Holiday,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,21
No Holiday,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,22
No Holiday,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,23
No Holiday,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,0
No Holiday,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,1
No Holiday,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,2
No Holiday,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,3
No Holiday,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,4
No Holiday,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,5
No Holiday,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,6
No Holiday,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,7
No Holiday,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,8
No Holiday,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,9
No Holiday,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,10
No Holiday,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,11
No Holiday,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,12
No Holiday,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,13
No Holiday,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,14
No Holiday,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,15
No Holiday,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,16
No Holiday,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,17
No Holiday,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,18
No Holiday,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,19
No Holiday,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,20
No Holiday,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,21
No Holiday,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,22
No Holiday,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,23
No Holiday,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,0
No Holiday,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,1
No Holiday,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,3
No Holiday,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,5
No Holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,6
No Holiday,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,7
No Holiday,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,8
No Holiday,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,9
No Holiday,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,10
No Holiday,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,11
No Holiday,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,12
No Holiday,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,13
No Holiday,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,14
No Holiday,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,15
No Holiday,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,16
No Holiday,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,17
No Holiday,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,18
No Holiday,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,19
No Holiday,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,20
No Holiday,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,21
No Holiday,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,22
No Holiday,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,23
No Holiday,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,0
No Holiday,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718,1
No Holiday,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545,2
No Holiday,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411,4
No Holiday,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688,5
No Holiday,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352,6
No Holiday,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072,7
No Holiday,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342,8
No Holiday,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258,9
No Holiday,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861,10
No Holiday,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191,11
No Holiday,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669,12
No Holiday,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074,13
No Holiday,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025,14
No Holiday,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153,15
No Holiday,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024,16
No Holiday,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779,17
No Holiday,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362,18
No Holiday,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860,19
No Holiday,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160,20
No Holiday,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992,21
No Holiday,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202,22
No Holiday,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941,23
No Holiday,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233,0
No Holiday,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323,3
No Holiday,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312,4
No Holiday,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627,5
No Holiday,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508,6
No Holiday,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539,7
No Holiday,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232,8
No Holiday,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568,9
No Holiday,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624,10
No Holiday,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529,11
No Holiday,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139,12
No Holiday,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640,13
No Holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589,14
No Holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429,15
No Holiday,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329,16
No Holiday,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833,17
No Holiday,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015,18
No Holiday,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382,19
No Holiday,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815,20
No Holiday,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110,21
No Holiday,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555,22
No Holiday,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959,23
Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455,0
No Holiday,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336,1
No Holiday,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265,2
No Holiday,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314,3
No Holiday,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779,4
No Holiday,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571,5
No Holiday,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563,6
No Holiday,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676,7
No Holiday,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966,8
No Holiday,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832,9
No Holiday,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395,10
No Holiday,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411,11
No Holiday,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648,12
No Holiday,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602,13
No Holiday,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125,14
No Holiday,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502,15
No Holiday,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979,16
No Holiday,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663,17
No Holiday,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259,18
No Holiday,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069,19
No Holiday,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378,20
No Holiday,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030,21
No Holiday,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400,22
No Holiday,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917,23
No Holiday,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515,0
No Holiday,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302,1
No Holiday,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251,2
No Holiday,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798,4
No Holiday,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678,5
No Holiday,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733,6
No Holiday,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449,7
No Holiday,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765,8
No Holiday,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599,9
No Holiday,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534,10
No Holiday,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691,11
No Holiday,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067,12
No Holiday,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030,13
No Holiday,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300,14
No Holiday,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777,15
No Holiday,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349,16
No Holiday,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127,17
No Holiday,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460,18
No Holiday,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418,19
No Holiday,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775,20
No Holiday,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306,21
No Holiday,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846,22
No Holiday,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947,23
No Holiday,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494,0
No Holiday,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332,1
No Holiday,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261,2
No Holiday,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361,3
No Holiday,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875,6
No Holiday,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793,7
No Holiday,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793,7
No Holiday,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283,8
No Holiday,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283,8
No Holiday,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680,9
No Holiday,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680,9
No Holiday,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632,10
No Holiday,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887,11
No Holiday,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030,12
No Holiday,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067,13
No Holiday,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227,14
No Holiday,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610,15
No Holiday,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286,16
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775,18
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340,19
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013,20
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 21:00:00,2603,21
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 22:00:00,1910,22
No Holiday,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 23:00:00,1037,23
No Holiday,273.9,0.0,0.0,1,Clear,sky is clear,2012-10-11 01:00:00,347,1
No Holiday,274.4,0.0,0.0,75,Clouds,broken clouds,2012-10-11 03:00:00,350,3
No Holiday,274.05,0.0,0.0,75,Clouds,broken clouds,2012-10-11 04:00:00,850,4
No Holiday,273.71,0.0,0.0,40,Clouds,scattered clouds,2012-10-11 05:00:00,2791,5
No Holiday,272.66,0.0,0.0,1,Clear,sky is clear,2012-10-11 06:00:00,5809,6
No Holiday,272.65,0.0,0.0,1,Clear,sky is clear,2012-10-11 07:00:00,6798,7
No Holiday,272.52,0.0,0.0,1,Clear,sky is clear,2012-10-11 08:00:00,6304,8
No Holiday,275.19,0.0,0.0,20,Clouds,few clouds,2012-10-11 09:00:00,5291,9
No Holiday,275.34,0.0,0.0,1,Clear,sky is clear,2012-10-11 10:00:00,4638,10
No Holiday,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 14:00:00,5557,14
No Holiday,284.1,0.0,0.0,50,Clear,sky is clear,2012-10-11 15:00:00,5818,15
No Holiday,283.78,0.0,0.0,75,Clouds,broken clouds,2012-10-11 16:00:00,6272,16
No Holiday,283.52,0.0,0.0,75,Clouds,broken clouds,2012-10-11 17:00:00,5944,17
No Holiday,283.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 18:00:00,4949,18
No Holiday,282.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 19:00:00,3511,19
No Holiday,281.95,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 20:00:00,3039,20
No Holiday,281.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 21:00:00,2679,21
No Holiday,282.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 22:00:00,2094,22
No Holiday,282.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-11 23:00:00,1284,23
No Holiday,283.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 00:00:00,630,0
No Holiday,284.64,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 01:00:00,410,1
No Holiday,284.61,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 02:00:00,331,2
No Holiday,283.18,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 03:00:00,372,3
No Holiday,282.26,0.0,0.0,72,Rain,light rain,2012-10-12 04:00:00,739,4
No Holiday,280.77,0.0,0.0,72,Drizzle,light intensity drizzle,2012-10-12 05:00:00,2561,5
No Holiday,278.53,0.0,0.0,75,Clouds,broken clouds,2012-10-12 06:00:00,5586,6
No Holiday,277.64,0.0,0.0,75,Clouds,broken clouds,2012-10-12 07:00:00,6992,7
No Holiday,277.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 08:00:00,5860,8
No Holiday,278.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-12 09:00:00,5230,9
No Holiday,279.29,0.0,0.0,75,Clouds,broken clouds,2012-10-12 10:00:00,4864,10
No Holiday,280.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 11:00:00,5146,11
No Holiday,280.95,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 12:00:00,5526,12
No Holiday,281.74,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 13:00:00,5383,13
No Holiday,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-12 14:00:00,5758,14
No Holiday,282.45,0.0,0.0,75,Clouds,broken clouds,2012-10-12 15:00:00,5889,15
No Holiday,282.2,0.0,0.0,75,Clouds,broken clouds,2012-10-12 16:00:00,6057,16
No Holiday,281.54,0.0,0.0,40,Clouds,scattered clouds,2012-10-12 17:00:00,6028,17
No Holiday,280.21,0.0,0.0,20,Clouds,few clouds,2012-10-12 18:00:00,5257,18
No Holiday,282.2,0.0,0.0,56,Clear,sky is clear,2012-10-12 23:00:00,1897,23
No Holiday,272.58,0.0,0.0,1,Clear,sky is clear,2012-10-13 00:00:00,1335,0
No Holiday,272.06,0.0,0.0,1,Clear,sky is clear,2012-10-13 01:00:00,769,1
No Holiday,270.99,0.0,0.0,1,Clear,sky is clear,2012-10-13 02:00:00,570,2
No Holiday,270.29,0.0,0.0,20,Clouds,few clouds,2012-10-13 03:00:00,413,3
No Holiday,269.48,0.0,0.0,1,Clear,sky is clear,2012-10-13 04:00:00,399,4
No Holiday,269.27,0.0,0.0,1,Clear,sky is clear,2012-10-13 05:00:00,740,5
No Holiday,268.91,0.0,0.0,1,Clear,sky is clear,2012-10-13 06:00:00,1420,6
No Holiday,268.98,0.0,0.0,75,Clouds,broken clouds,2012-10-13 07:00:00,2220,7
No Holiday,269.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 08:00:00,3479,8
No Holiday,272.61,0.0,0.0,40,Clouds,scattered clouds,2012-10-13 09:00:00,4546,9
No Holiday,276.78,0.0,0.0,20,Clouds,few clouds,2012-10-13 10:00:00,4579,10
No Holiday,279.22,0.0,0.0,1,Clear,sky is clear,2012-10-13 11:00:00,4438,11
No Holiday,280.35,0.0,0.0,1,Clear,sky is clear,2012-10-13 12:00:00,4623,12
No Holiday,281.81,0.0,0.0,1,Clear,sky is clear,2012-10-13 13:00:00,4440,13
No Holiday,283.05,0.0,0.0,1,Clear,sky is clear,2012-10-13 14:00:00,4495,14
No Holiday,283.96,0.0,0.0,1,Clear,sky is clear,2012-10-13 15:00:00,4483,15
No Holiday,284.53,0.0,0.0,1,Clear,sky is clear,2012-10-13 16:00:00,4591,16
No Holiday,284.44,0.0,0.0,1,Clear,sky is clear,2012-10-13 17:00:00,4477,17
No Holiday,283.64,0.0,0.0,1,Clear,sky is clear,2012-10-13 18:00:00,4221,18
No Holiday,281.85,0.0,0.0,20,Clouds,few clouds,2012-10-13 19:00:00,3672,19
No Holiday,281.38,0.0,0.0,1,Clear,sky is clear,2012-10-13 20:00:00,3015,20
No Holiday,281.84,0.0,0.0,75,Clouds,broken clouds,2012-10-13 21:00:00,2769,21
No Holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 22:00:00,2875,22
No Holiday,282.18,0.0,0.0,90,Clouds,overcast clouds,2012-10-13 23:00:00,1931,23
No Holiday,282.49,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 00:00:00,1309,0
No Holiday,282.54,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 01:00:00,870,1
No Holiday,282.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 02:00:00,654,2
No Holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 03:00:00,364,3
No Holiday,282.08,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 04:00:00,262,4
No Holiday,282.23,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 05:00:00,505,5
No Holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 06:00:00,861,6
No Holiday,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-14 07:00:00,1132,7
No Holiday,282.24,0.0,0.0,57,Mist,mist,2012-10-14 08:00:00,1797,8
No Holiday,282.43,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 09:00:00,2685,9
No Holiday,282.43,0.0,0.0,57,Mist,mist,2012-10-14 09:00:00,2685,9
No Holiday,282.43,0.0,0.0,57,Haze,haze,2012-10-14 09:00:00,2685,9
No Holiday,282.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 10:00:00,3370,10
No Holiday,282.33,0.0,0.0,57,Mist,mist,2012-10-14 10:00:00,3370,10
No Holiday,282.82,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 11:00:00,3662,11
No Holiday,282.82,0.0,0.0,57,Mist,mist,2012-10-14 11:00:00,3662,11
No Holiday,283.33,0.0,0.0,57,Mist,mist,2012-10-14 12:00:00,4076,12
No Holiday,283.33,0.0,0.0,57,Rain,light rain,2012-10-14 12:00:00,4076,12
No Holiday,283.33,0.0,0.0,57,Drizzle,light intensity drizzle,2012-10-14 12:00:00,4076,12
No Holiday,283.75,0.0,0.0,93,Rain,light rain,2012-10-14 13:00:00,4128,13
No Holiday,283.75,0.0,0.0,93,Mist,mist,2012-10-14 13:00:00,4128,13
No Holiday,283.75,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 13:00:00,4128,13
No Holiday,284.09,0.0,0.0,93,Mist,mist,2012-10-14 14:00:00,4358,14
No Holiday,284.09,0.0,0.0,93,Rain,light rain,2012-10-14 14:00:00,4358,14
No Holiday,284.09,0.0,0.0,93,Drizzle,light intensity drizzle,2012-10-14 14:00:00,4358,14
